0.00.019.696 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.710 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.714 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.817 I srv          init: The UI is disabled
0.00.019.820 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.026.316 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.093.894 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.115.649 W srv    load_model: speculative decoding not supported by this context
0.00.115.655 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.119.153 I srv  llama_server: model loaded
0.00.119.159 I srv  llama_server: listening on http://127.0.0.1:8091
0.07.439.427 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.07.439.445 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.07.443.869 I slot      release: id  3 | task 0 | stop processing: n_tokens = 24, truncated = 0
0.07.445.614 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.07.445.623 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
0.07.449.252 I slot      release: id  2 | task 2 | stop processing: n_tokens = 22, truncated = 0
0.07.474.244 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.07.474.251 I slot launch_slot_: id  1 | task 4 | processing task, is_child = 0
0.07.479.433 I slot      release: id  1 | task 4 | stop processing: n_tokens = 32, truncated = 0
0.07.505.303 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.07.505.316 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.07.511.295 I slot      release: id  0 | task 6 | stop processing: n_tokens = 38, truncated = 0
0.07.537.192 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 7378884
0.07.537.199 I slot launch_slot_: id  3 | task 8 | processing task, is_child = 0
0.07.543.428 I slot      release: id  3 | task 8 | stop processing: n_tokens = 39, truncated = 0
0.07.569.266 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 7384266
0.07.569.276 I slot launch_slot_: id  2 | task 10 | processing task, is_child = 0
0.07.574.017 I slot      release: id  2 | task 10 | stop processing: n_tokens = 34, truncated = 0
0.07.575.524 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 7414447
0.07.575.531 I slot launch_slot_: id  1 | task 12 | processing task, is_child = 0
0.07.578.726 I slot      release: id  1 | task 12 | stop processing: n_tokens = 21, truncated = 0
0.07.580.129 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7446309
0.07.580.136 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.07.583.189 I slot      release: id  0 | task 14 | stop processing: n_tokens = 20, truncated = 0
0.07.584.596 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 7478443
0.07.584.604 I slot launch_slot_: id  3 | task 16 | processing task, is_child = 0
0.07.589.396 I slot      release: id  3 | task 16 | stop processing: n_tokens = 33, truncated = 0
0.07.600.385 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 7509032
0.07.600.391 I slot launch_slot_: id  2 | task 18 | processing task, is_child = 0
0.07.603.708 I slot      release: id  2 | task 18 | stop processing: n_tokens = 23, truncated = 0
0.07.615.473 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 7513739
0.07.615.483 I slot launch_slot_: id  1 | task 20 | processing task, is_child = 0
0.07.620.729 I slot      release: id  1 | task 20 | stop processing: n_tokens = 37, truncated = 0
0.07.631.411 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7518203
0.07.631.420 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.07.635.248 I slot      release: id  0 | task 22 | stop processing: n_tokens = 23, truncated = 0
0.07.636.642 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 7524411
0.07.636.649 I slot launch_slot_: id  3 | task 24 | processing task, is_child = 0
0.07.639.817 I slot      release: id  3 | task 24 | stop processing: n_tokens = 20, truncated = 0
0.07.641.027 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 7538722
0.07.641.034 I slot launch_slot_: id  2 | task 26 | processing task, is_child = 0
0.07.648.011 I slot      release: id  2 | task 26 | stop processing: n_tokens = 43, truncated = 0
0.07.662.029 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 7555744
0.07.662.036 I slot launch_slot_: id  1 | task 28 | processing task, is_child = 0
0.07.668.031 I slot      release: id  1 | task 28 | stop processing: n_tokens = 42, truncated = 0
0.07.669.310 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7570263
0.07.669.321 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.07.674.316 I slot      release: id  0 | task 30 | stop processing: n_tokens = 36, truncated = 0
0.07.693.155 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 7574832
0.07.693.162 I slot launch_slot_: id  3 | task 32 | processing task, is_child = 0
0.07.698.059 I slot      release: id  3 | task 32 | stop processing: n_tokens = 33, truncated = 0
0.07.724.188 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 7583026
0.07.724.202 I slot launch_slot_: id  2 | task 34 | processing task, is_child = 0
0.07.726.670 I slot      release: id  2 | task 34 | stop processing: n_tokens = 11, truncated = 0
0.07.739.145 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.091
0.07.739.155 I slot launch_slot_: id  2 | task 36 | processing task, is_child = 0
0.07.741.369 I slot      release: id  2 | task 36 | stop processing: n_tokens = 6, truncated = 0
0.07.755.230 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.167
0.07.755.239 I slot launch_slot_: id  2 | task 38 | processing task, is_child = 0
0.07.757.447 I slot      release: id  2 | task 38 | stop processing: n_tokens = 6, truncated = 0
0.07.758.736 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.167
0.07.758.743 I slot launch_slot_: id  2 | task 40 | processing task, is_child = 0
0.07.760.615 I slot      release: id  2 | task 40 | stop processing: n_tokens = 7, truncated = 0
0.07.761.907 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 7603046
0.07.761.912 I slot launch_slot_: id  1 | task 42 | processing task, is_child = 0
