0.00.262.046 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.262.061 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.262.064 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.262.166 I srv          init: The UI is disabled
0.00.262.167 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.268.956 I srv    load_model: loading model './models/all-minilm-l6-v2-q5.gguf'
0.00.328.845 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.342.588 W srv    load_model: speculative decoding not supported by this context
0.00.342.596 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.347.558 I srv  llama_server: model loaded
0.00.347.566 I srv  llama_server: listening on http://127.0.0.1:8090
0.06.003.991 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.06.004.007 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.06.005.632 I slot      release: id  3 | task 0 | stop processing: n_tokens = 6, truncated = 0
1.13.686.556 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
1.13.686.567 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
1.13.689.177 I slot      release: id  2 | task 2 | stop processing: n_tokens = 12, truncated = 0
1.13.702.435 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.182 (> 0.100 thold), f_keep = 0.167
1.13.702.441 I slot launch_slot_: id  2 | task 4 | processing task, is_child = 0
1.13.704.299 I slot      release: id  2 | task 4 | stop processing: n_tokens = 11, truncated = 0
1.13.718.376 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
1.13.718.383 I slot launch_slot_: id  1 | task 6 | processing task, is_child = 0
1.13.720.718 I slot      release: id  1 | task 6 | stop processing: n_tokens = 15, truncated = 0
1.13.722.672 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.13.722.684 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
1.13.725.438 I slot      release: id  0 | task 8 | stop processing: n_tokens = 19, truncated = 0
1.13.750.513 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 5703607
1.13.750.523 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
1.13.754.313 I slot      release: id  3 | task 10 | stop processing: n_tokens = 26, truncated = 0
1.13.755.756 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 73402275
1.13.755.764 I slot launch_slot_: id  2 | task 12 | processing task, is_child = 0
1.13.757.627 I slot      release: id  2 | task 12 | stop processing: n_tokens = 17, truncated = 0
1.13.781.744 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 73418693
1.13.781.753 I slot launch_slot_: id  1 | task 14 | processing task, is_child = 0
1.13.783.702 I slot      release: id  1 | task 14 | stop processing: n_tokens = 12, truncated = 0
1.13.785.095 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.167
1.13.785.106 I slot launch_slot_: id  1 | task 16 | processing task, is_child = 0
1.13.786.478 I slot      release: id  1 | task 16 | stop processing: n_tokens = 10, truncated = 0
1.13.811.881 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.182 (> 0.100 thold), f_keep = 0.200
1.13.811.891 I slot launch_slot_: id  1 | task 18 | processing task, is_child = 0
1.13.813.464 I slot      release: id  1 | task 18 | stop processing: n_tokens = 11, truncated = 0
1.13.815.073 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.222 (> 0.100 thold), f_keep = 0.182
1.13.815.080 I slot launch_slot_: id  1 | task 20 | processing task, is_child = 0
1.13.816.301 I slot      release: id  1 | task 20 | stop processing: n_tokens = 9, truncated = 0
1.13.817.548 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.222
1.13.817.555 I slot launch_slot_: id  1 | task 22 | processing task, is_child = 0
1.13.819.112 I slot      release: id  1 | task 22 | stop processing: n_tokens = 12, truncated = 0
1.13.820.310 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 73423413
1.13.820.316 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
1.13.822.268 I slot      release: id  0 | task 24 | stop processing: n_tokens = 18, truncated = 0
1.13.823.463 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 73452290
1.13.823.471 I slot launch_slot_: id  3 | task 26 | processing task, is_child = 0
1.13.825.032 I slot      release: id  3 | task 26 | stop processing: n_tokens = 14, truncated = 0
1.13.842.320 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 73455602
1.13.842.328 I slot launch_slot_: id  2 | task 28 | processing task, is_child = 0
1.13.844.678 I slot      release: id  2 | task 28 | stop processing: n_tokens = 22, truncated = 0
1.13.858.445 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 73517089
1.13.858.457 I slot launch_slot_: id  1 | task 30 | processing task, is_child = 0
1.13.860.985 I slot      release: id  1 | task 30 | stop processing: n_tokens = 24, truncated = 0
