0.00.019.798 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.815 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.817 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.923 I srv          init: The UI is disabled
0.00.019.924 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.022.426 I srv    load_model: loading model 'models/bge-small-en-v1.5-q8.gguf'
0.00.088.449 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.107.581 W srv    load_model: speculative decoding not supported by this context
0.00.107.587 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.110.368 I srv  llama_server: model loaded
0.00.110.375 I srv  llama_server: listening on http://127.0.0.1:8090
3.22.849.074 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.22.849.088 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
3.22.858.888 I slot      release: id  3 | task 0 | stop processing: n_tokens = 43, truncated = 0
3.22.880.440 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
3.22.880.448 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
3.22.887.994 I slot      release: id  2 | task 2 | stop processing: n_tokens = 42, truncated = 0
3.22.912.567 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
3.22.912.575 I slot launch_slot_: id  1 | task 4 | processing task, is_child = 0
3.22.917.144 I slot      release: id  1 | task 4 | stop processing: n_tokens = 23, truncated = 0
3.22.943.354 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
3.22.943.362 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
3.22.947.162 I slot      release: id  0 | task 6 | stop processing: n_tokens = 20, truncated = 0
3.22.948.367 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 202798286
3.22.948.374 I slot launch_slot_: id  3 | task 8 | processing task, is_child = 0
3.22.954.608 I slot      release: id  3 | task 8 | stop processing: n_tokens = 33, truncated = 0
3.22.975.386 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 202827392
3.22.975.393 I slot launch_slot_: id  2 | task 10 | processing task, is_child = 0
3.22.979.259 I slot      release: id  2 | task 10 | stop processing: n_tokens = 21, truncated = 0
3.22.980.348 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 202856541
3.22.980.355 I slot launch_slot_: id  1 | task 12 | processing task, is_child = 0
3.22.984.532 I slot      release: id  1 | task 12 | stop processing: n_tokens = 24, truncated = 0
3.23.007.317 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 202886559
3.23.007.326 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
3.23.013.054 I slot      release: id  0 | task 14 | stop processing: n_tokens = 32, truncated = 0
3.23.014.166 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 202894005
3.23.014.175 I slot launch_slot_: id  3 | task 16 | processing task, is_child = 0
3.23.020.651 I slot      release: id  3 | task 16 | stop processing: n_tokens = 37, truncated = 0
3.23.038.401 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 202918656
3.23.038.411 I slot launch_slot_: id  2 | task 18 | processing task, is_child = 0
3.23.044.969 I slot      release: id  2 | task 18 | stop processing: n_tokens = 33, truncated = 0
